Season,Lg,Player,Voting,Age,POS,Tm,TeamRank,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
2016-17,NBA,Russell Westbrook\westbru01,0.68,28,PG,OKC,10,81,34.6,31.6,10.7,10.4,1.6,0.4,0.425,0.343,0.845,13.1,0.224
2015-16,NBA,Stephen Curry\curryst01,1.00,27,PG,GSW,1,79,34.2,30.1,5.4,6.7,2.1,0.2,0.504,0.454,0.908,17.9,0.318
2014-15,NBA,Stephen Curry\curryst01,0.77,26,PG,GSW,1,80,32.7,23.8,4.3,7.7,2,0.2,0.487,0.443,0.914,15.7,0.288
2013-14,NBA,Kevin Durant\duranke01,0.95,25,SF,OKC,2,81,38.5,32,7.4,5.5,1.3,0.7,0.503,0.391,0.873,19.2,0.295
2012-13,NBA,LeBron James\jamesle01,0.99,28,SF,MIA,1,76,37.9,26.8,8,7.3,1.7,0.9,0.565,0.406,0.753,19.3,0.322
2011-12,NBA,LeBron James\jamesle01,0.70,27,SF,MIA,4,62,37.5,27.1,7.9,6.2,1.9,0.8,0.531,0.362,0.771,14.5,0.298
2010-11,NBA,Derrick Rose\rosede01,0.93,22,PG,CHI,1,81,37.4,25,4.1,7.7,1,0.6,0.445,0.332,0.858,13.1,0.208
2009-10,NBA,LeBron James\jamesle01,0.94,25,SF,CLE,1,76,39,29.7,7.3,8.6,1.6,1,0.503,0.333,0.767,18.5,0.299
2008-09,NBA,LeBron James\jamesle01,0.90,24,SF,CLE,1,81,37.7,28.4,7.6,7.2,1.7,1.1,0.489,0.344,0.78,20.3,0.318
2007-08,NBA,Kobe Bryant\bryanko01,0.65,29,SG,LAL,3,82,38.9,28.3,6.3,5.4,1.8,0.5,0.459,0.361,0.84,13.8,0.208
2006-07,NBA,Dirk Nowitzki\nowitdi01,0.64,28,PF,DAL,1,78,36.2,24.6,8.9,3.4,0.7,0.8,0.502,0.416,0.904,16.3,0.278
2005-06,NBA,Steve Nash\nashst01,0.45,31,PG,PHO,4,79,35.4,18.8,4.2,10.5,0.8,0.2,0.512,0.439,0.921,12.4,0.212
2004-05,NBA,Steve Nash\nashst01,0.51,30,PG,PHO,1,75,34.3,15.5,3.3,11.5,1,0.1,0.502,0.431,0.887,10.9,0.203
2003-04,NBA,Kevin Garnett\garneke01,0.98,27,PF,MIN,2,82,39.4,24.2,13.9,5,1.5,2.2,0.499,0.256,0.791,18.3,0.272
2002-03,NBA,Tim Duncan\duncati01,0.50,26,PF,SAS,1,81,39.3,23.3,12.9,3.9,0.7,2.9,0.513,0.273,0.71,16.5,0.248
2001-02,NBA,Tim Duncan\duncati01,0.45,25,PF,SAS,2,82,40.6,25.5,12.7,3.7,0.7,2.5,0.508,0.1,0.799,17.8,0.257
2000-01,NBA,Allen Iverson\iversal01,0.75,25,SG,PHI,2,71,42,31.1,3.8,4.6,2.5,0.3,0.42,0.32,0.814,11.8,0.19
1999-00,NBA,Shaquille O'Neal\onealsh01,0.99,27,C,LAL,1,79,40,29.7,13.6,3.8,0.5,3,0.574,0,0.524,18.6,0.283
1998-99,NBA,Karl Malone\malonka01,0.37,35,PF,UTA,1,49,37.4,23.8,9.4,4.1,1.3,0.6,0.493,0,0.788,9.6,0.252
1997-98,NBA,Michael Jordan\jordami01,0.79,34,SG,CHI,1,82,38.8,28.7,5.8,3.5,1.7,0.5,0.465,0.238,0.784,15.8,0.238
1996-97,NBA,Karl Malone\malonka01,0.55,33,PF,UTA,2,82,36.6,27.4,9.9,4.5,1.4,0.6,0.55,0,0.755,16.7,0.268
1995-96,NBA,Michael Jordan\jordami01,0.96,32,SG,CHI,1,82,37.7,30.4,6.6,4.3,2.2,0.5,0.495,0.427,0.834,20.4,0.317
1994-95,NBA,David Robinson\robinda01,0.70,29,C,SAS,1,81,38,27.6,10.8,2.9,1.7,3.2,0.53,0.3,0.774,17.5,0.273
1993-94,NBA,Hakeem Olajuwon\olajuha01,0.65,31,C,HOU,2,80,41,27.3,11.9,3.6,1.6,3.7,0.528,0.421,0.716,14.3,0.21
1992-93,NBA,Charles Barkley\barklch01,0.60,29,PF,PHO,1,76,37.6,25.6,12.2,5.1,1.6,1,0.52,0.305,0.765,14.4,0.242
1991-92,NBA,Michael Jordan\jordami01,0.83,28,SG,CHI,1,80,38.8,30.1,6.4,6.1,2.3,0.9,0.519,0.27,0.832,17.7,0.274
1990-91,NBA,Michael Jordan\jordami01,0.80,27,SG,CHI,2,82,37,31.5,6,5.5,2.7,1,0.539,0.312,0.851,20.3,0.321
1989-90,NBA,Magic Johnson\johnsma02,0.29,30,PG,LAL,1,79,37.2,22.3,6.6,11.5,1.7,0.4,0.48,0.384,0.89,16.5,0.27
1988-89,NBA,Magic Johnson\johnsma02,0.50,29,PG,LAL,2,77,37.5,22.5,7.9,12.8,1.8,0.3,0.509,0.314,0.911,16.1,0.267
1987-88,NBA,Michael Jordan\jordami01,0.59,24,SG,CHI,8,82,40.4,35,5.5,5.9,3.2,1.6,0.535,0.132,0.841,21.2,0.308
1986-87,NBA,Magic Johnson\johnsma02,0.86,27,PG,LAL,1,80,36.3,23.9,6.3,12.2,1.7,0.5,0.522,0.205,0.848,15.9,0.263
1985-86,NBA,Larry Bird\birdla01,0.94,29,SF,BOS,1,82,38,25.8,9.8,6.8,2,0.6,0.496,0.423,0.896,15.8,0.244
1984-85,NBA,Larry Bird\birdla01,0.94,28,SF,BOS,1,80,39.5,28.7,10.5,6.6,1.6,1.2,0.522,0.427,0.882,15.7,0.238
1983-84,NBA,Larry Bird\birdla01,0.68,27,SF,BOS,1,79,38.3,24.2,10.1,6.6,1.8,0.9,0.492,0.247,0.888,13.6,0.215
1982-83,NBA,Moses Malone\malonmo01,0.92,27,C,PHI,1,78,37.5,24.5,15.3,1.3,1.1,2,0.501,0,0.761,15.1,0.248
1981-82,NBA,Moses Malone\malonmo01,0.58,26,C,HOU,9,81,42,31.1,14.7,1.8,0.9,1.5,0.519,0,0.762,15.4,0.218
1980-81,NBA,Julius Erving\ervinju01,0.41,30,SF,PHI,2,82,35,24.6,8,4.4,2.1,1.8,0.521,0.222,0.787,13.8,0.231